id,count
0,26.0
1,148.0
2,88.0
4,33.0
5,173.0
10,132.0
11,207.0
12,380.0
15,46.0
17,212.0
18,271.0
23,159.0
25,189.0
26,52.0
31,214.0
39,126.0
40,30.0
41,214.0
42,380.0
43,92.0
51,148.0
52,108.0
54,14.0
60,114.0
61,132.0
62,90.0
63,14.0
65,66.0
66,129.0
68,179.0
71,104.0
80,32.0
82,78.0
94,114.0
98,201.0
101,37.0
102,118.0
107,15.0
112,304.0
113,117.0
115,46.0
116,108.0
120,208.0
121,10.0
122,331.0
132,226.0
143,127.0
147,46.0
150,16.0
151,94.0
152,187.0
153,80.0
155,57.0
156,155.0
159,179.0
161,57.0
163,52.0
177,101.0
186,16.0
188,20.0
190,117.0
191,98.0
192,277.0
195,271.0
200,137.0
209,331.0
210,14.0
211,148.0
214,222.0
215,27.0
218,90.0
219,42.0
222,236.0
225,22.0
228,317.0
236,104.0
241,49.0
242,296.0
243,246.0
245,15.0
247,205.0
251,126.0
252,103.0
253,86.0
254,87.0
258,332.0
260,46.0
261,114.0
265,75.0
266,252.0
267,319.0
269,116.0
270,53.0
275,90.0
278,52.0
279,80.0
286,117.0
287,28.0
288,237.0
289,124.0
293,22.0
294,300.0
297,44.0
302,137.0
303,26.0
304,124.0
307,90.0
309,17.0
311,227.0
312,131.0
314,263.0
315,126.0
319,124.0
322,108.0
323,53.0
325,227.0
327,278.0
330,52.0
332,218.0
333,26.0
338,90.0
341,97.0
345,214.0
348,102.0
349,52.0
350,129.0
352,53.0
355,27.0
356,256.0
358,46.0
363,112.0
369,97.0
371,16.0
372,227.0
375,252.0
380,189.0
388,20.0
391,126.0
392,310.0
393,300.0
394,241.0
396,20.0
401,37.0
407,69.0
409,80.0
410,129.0
416,98.0
418,132.0
420,189.0
421,179.0
422,126.0
424,310.0
428,300.0
429,304.0
431,218.0
435,23.0
439,79.0
441,14.0
447,86.0
449,179.0
451,227.0
452,20.0
454,200.0
458,304.0
463,114.0
467,13.0
470,316.0
471,116.0
474,252.0
478,13.0
483,132.0
484,217.0
485,80.0
486,189.0
491,90.0
494,87.0
495,278.0
497,213.0
499,304.0
515,97.0
518,191.0
521,222.0
525,112.0
529,126.0
532,112.0
534,80.0
540,69.0
544,335.0
547,114.0
549,20.0
563,52.0
564,227.0
567,137.0
572,189.0
577,126.0
578,148.0
585,380.0
588,227.0
589,189.0
590,109.0
592,17.0
594,304.0
596,14.0
598,380.0
599,91.0
605,33.0
606,112.0
607,278.0
608,198.0
609,78.0
610,310.0
611,241.0
614,108.0
615,191.0
616,214.0
617,161.0
618,201.0
624,132.0
629,189.0
631,100.0
633,26.0
637,27.0
638,90.0
643,84.0
644,138.0
645,52.0
646,216.0
648,170.0
650,31.0
651,241.0
652,278.0
656,137.0
657,14.0
659,127.0
660,188.0
662,90.0
665,425.0
675,331.0
681,153.0
682,173.0
685,15.0
686,107.0
689,27.0
696,97.0
703,140.0
704,90.0
705,219.0
714,256.0
717,117.0
718,13.0
720,26.0
721,151.0
723,232.0
726,241.0
728,126.0
730,241.0
731,20.0
734,286.0
737,106.0
738,16.0
745,304.0
746,20.0
749,237.0
752,27.0
753,57.0
758,237.0
765,16.0
766,176.0
768,94.0
769,142.0
774,190.0
775,83.0
781,63.0
784,317.0
794,15.0
795,278.0
796,86.0
802,213.0
803,241.0
805,52.0
806,252.0
807,90.0
809,22.0
810,300.0
812,241.0
814,132.0
818,226.0
819,227.0
825,68.0
836,148.0
839,167.0
847,205.0
848,241.0
851,126.0
852,86.0
853,33.0
857,108.0
858,52.0
859,205.0
861,26.0
867,90.0
870,226.0
871,214.0
872,179.0
874,380.0
881,115.0
886,115.0
890,46.0
895,143.0
899,86.0
900,278.0
901,205.0
902,142.0
903,46.0
913,205.0
918,124.0
923,182.0
924,52.0
926,20.0
927,28.0
930,214.0
934,20.0
937,137.0
939,218.0
941,90.0
942,431.0
946,271.0
950,90.0
953,82.0
959,78.0
961,24.0
962,26.0
964,39.0
969,191.0
971,118.0
976,46.0
978,262.0
980,278.0
981,256.0
990,380.0
993,17.0
996,14.0
998,331.0
999,266.0
1006,90.0
1008,14.0
1013,19.0
1015,92.0
1016,189.0
1022,293.0
1026,214.0
1028,126.0
1031,127.0
1034,46.0
1037,130.0
1040,53.0
1042,18.0
1046,14.0
1048,127.0
1049,90.0
1050,78.0
1051,227.0
1052,214.0
1055,241.0
1060,119.0
1064,27.0
1066,87.0
1071,90.0
1073,16.0
1089,227.0
1091,113.0
1092,76.0
1093,267.0
1096,319.0
1097,234.0
1098,20.0
1099,52.0
1102,227.0
1107,117.0
1109,53.0
1111,191.0
1112,108.0
1114,252.0
1116,271.0
1117,114.0
1118,127.0
1122,266.0
1124,149.0
1127,137.0
1133,317.0
1134,52.0
1135,218.0
1139,271.0
1143,63.0
1150,129.0
1151,88.0
1153,271.0
1155,20.0
1162,27.0
1163,197.0
1166,14.0
1171,86.0
1172,20.0
1173,205.0
1174,26.0
1177,133.0
1178,193.0
1184,241.0
1185,90.0
1186,132.0
1187,106.0
1188,252.0
1191,141.0
1207,105.0
1213,52.0
1215,112.0
1223,304.0
1227,109.0
1236,78.0
1237,62.0
1238,14.0
1241,20.0
1248,8.0
1250,53.0
1251,189.0
1253,129.0
1255,108.0
1257,304.0
1261,129.0
1262,300.0
1265,108.0
1273,124.0
1277,252.0
1278,119.0
1280,129.0
1284,193.0
1285,293.0
1288,33.0
1295,112.0
1297,431.0
1299,244.0
1304,140.0
1308,52.0
1310,85.0
1311,150.0
1314,117.0
1315,90.0
1318,52.0
1320,317.0
1321,252.0
1322,201.0
1330,91.0
1333,134.0
1334,158.0
1341,275.0
1344,139.0
1351,229.0
1354,85.0
1356,53.0
1363,90.0
1365,214.0
1369,161.0
1373,137.0
1375,90.0
1377,86.0
1379,107.0
1380,271.0
1381,109.0
1384,182.0
1390,136.0
1393,249.0
1395,74.0
1399,366.0
1400,133.0
1401,191.0
1404,92.0
1408,15.0
1409,37.0
1413,214.0
1416,271.0
1418,90.0
1423,117.0
1424,20.0
1425,13.0
1433,130.0
1434,221.0
1436,366.0
1442,278.0
1444,86.0
1445,150.0
1452,97.0
1455,150.0
1462,78.0
1467,103.0
1472,52.0
1475,241.0
1493,114.0
1501,188.0
1503,310.0
1504,176.0
